Year,Month,Unemployment (Thousand),Unemployment Rate (%)
2000,January,32.4,7.6
2000,February,31.6,7.4
2000,March,31.1,7.3
2000,April,31.4,7.3
2000,May,30.6,7.1
2000,June,30.3,7
2000,July,30,6.9
2000,August,29.5,6.8
2000,September,28.3,6.6
2000,October,27.3,6.4
2000,November,26.7,6.3
2000,December,26.6,6.3
2001,January,26.8,6.4
2001,February,27,6.5
2001,March,27.3,6.6
2001,April,28.1,6.8
2001,May,28.8,6.9
2001,June,30,7.2
2001,July,31.7,7.5
2001,August,32.5,7.7
2001,September,32.8,7.8
2001,October,33,7.9
2001,November,33.8,8.1
2001,December,33.1,7.9
2002,January,33.3,8
2002,February,34.3,8.3
2002,March,34.9,8.5
2002,April,35.2,8.6
2002,May,35,8.6
2002,June,33.7,8.3
2002,July,32.3,7.9
2002,August,31.7,7.8
2002,September,34,8.3
2002,October,37.6,9.1
2002,November,40,9.7
2002,December,40.2,9.7
2003,January,37.9,9.2
2003,February,36.4,8.8
2003,March,35.3,8.6
2003,April,35.2,8.6
2003,May,35.4,8.7
2003,June,36.2,8.9
2003,July,37.1,9.1
2003,August,36.9,9
2003,September,37.1,9.1
2003,October,35.5,8.7
2003,November,35.5,8.7
2003,December,36.2,8.9
2004,January,37.7,9.2
2004,February,38.4,9.3
2004,March,37.5,9.2
2004,April,34.8,8.6
2004,May,34.3,8.5
2004,June,35.1,8.6
2004,July,35.6,8.6
2004,August,36.2,8.7
2004,September,37.7,9
2004,October,37,8.9
2004,November,36.5,8.8
2004,December,36,8.7
2005,January,34.2,8.3
2005,February,33.7,8.2
2005,March,34.9,8.4
2005,April,36.2,8.7
2005,May,37.3,8.9
2005,June,37.5,9
2005,July,37.5,9
2005,August,37.6,9
2005,September,37,8.8
2005,October,36.2,8.6
2005,November,36.2,8.6
2005,December,36.7,8.7
2006,January,38,8.9
2006,February,38.6,9
2006,March,38.9,9.1
2006,April,38.9,9.1
2006,May,38.9,9
2006,June,39.3,9
2006,July,39.6,9
2006,August,39.8,9
2006,September,38.5,8.7
2006,October,36.3,8.1
2006,November,35.3,7.8
2006,December,36.9,8.1
2007,January,39.7,8.6
2007,February,41,8.9
2007,March,42.5,9.2
2007,April,43.8,9.5
2007,May,43.1,9.4
2007,June,42.9,9.3
2007,July,41.2,9
2007,August,40.8,8.9
2007,September,40.8,8.9
2007,October,42,9.1
2007,November,43.5,9.4
2007,December,44.5,9.7
2008,January,45.7,10
